280
1 <-4.5,2.5> ---- <1,8> 
2 <-4.5,3.5> ---- <1,9> 
3 <-3.5,0.5> ---- <2,6> 
4 <-3.5,1.5> ---- <2,7> 
5 <-3.5,2.5> ---- <2,8> 
6 <-3.5,3.5> ---- <2,9> 
7 <-2.5,-3.5> ---- <3,2> 
8 <-2.5,-2.5> ---- <3,3> 
9 <-2.5,-1.5> ---- <3,4> 
10 <-2.5,-0.5> ---- <3,5> 
11 <-2.5,0.5> ---- <3,6> 
12 <-2.5,1.5> ---- <3,7> 
13 <-2.5,2.5> ---- <3,8> 
14 <-2.5,3.5> ---- <3,9> 
15 <-1.5,-4.5> ---- <4,1> 
16 <-1.5,-3.5> ---- <4,2> 
17 <-1.5,-2.5> ---- <4,3> 
18 <-1.5,-1.5> ---- <4,4> 
19 <-1.5,-0.5> ---- <4,5> 
20 <-1.5,0.5> ---- <4,6> 
21 <-1.5,1.5> ---- <4,7> 
22 <-1.5,2.5> ---- <4,8> 
23 <-1.5,3.5> ---- <4,9> 
24 <-0.5,-4.5> ---- <5,1> 
25 <-0.5,-3.5> ---- <5,2> 
26 <-0.5,-2.5> ---- <5,3> 
27 <-0.5,-1.5> ---- <5,4> 
28 <-0.5,-0.5> ---- <5,5> 
29 <-0.5,0.5> ---- <5,6> 
30 <-0.5,1.5> ---- <5,7> 
31 <-0.5,2.5> ---- <5,8> 
32 <-0.5,3.5> ---- <5,9> 
33 <0.5,-4.5> ---- <6,1> 
34 <0.5,-3.5> ---- <6,2> 
35 <0.5,-2.5> ---- <6,3> 
36 <0.5,-1.5> ---- <6,4> 
37 <0.5,-0.5> ---- <6,5> 
38 <0.5,0.5> ---- <6,6> 
39 <0.5,1.5> ---- <6,7> 
40 <0.5,2.5> ---- <6,8> 
41 <0.5,3.5> ---- <6,9> 
42 <1.5,-4.5> ---- <7,1> 
43 <1.5,-3.5> ---- <7,2> 
44 <1.5,-2.5> ---- <7,3> 
45 <1.5,-1.5> ---- <7,4> 
46 <1.5,-0.5> ---- <7,5> 
47 <1.5,0.5> ---- <7,6> 
48 <1.5,1.5> ---- <7,7> 
49 <1.5,2.5> ---- <7,8> 
50 <2.5,-4.5> ---- <8,1> 
51 <2.5,-3.5> ---- <8,2> 
52 <2.5,-2.5> ---- <8,3> 
53 <2.5,-1.5> ---- <8,4> 
54 <2.5,-0.5> ---- <8,5> 
55 <2.5,0.5> ---- <8,6> 
56 <2.5,1.5> ---- <8,7> 
57 <2.5,2.5> ---- <8,8> 
58 <3.5,-3.5> ---- <9,2> 
59 <3.5,-2.5> ---- <9,3> 
60 <3.5,-1.5> ---- <9,4> 
61 <3.5,-0.5> ---- <9,5> 
62 <3.5,0.5> ---- <9,6> 
63 <3.5,1.5> ---- <9,7> 
